version;wahl-behoerde-gs;wahl-datum;wahl-name;partei-kurzname;partei-langname;kandidat-name;kandidat-namensvorsatz;kandidat-vorname;kandidat-akadgrad;kandidat-geburtsjahr;kandidat-geschlecht;kandidat-beruf;kandidat-gebiet-nr;kandidat-listenplatz
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;SPD;Sozialdemokratische Partei Deutschlands;Timo Schisanowski;;;;;;;137;
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;CDU;Christlich Demokratische Union Deutschlands;Tijen Ataoğlu;;;;;;;137;
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Dr. Thomas Jalili Tanha;;;;;;;137;
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;FDP;Freie Demokratische Partei;Katrin Helling-Plahr;;;;;;;137;
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;AfD;Alternative für Deutschland;Michael Eiche;;;;;;;137;
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;Die Linke;Die Linke;Jürgen Hans Senge;;;;;;;137;
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;Die Gerechtigkeitspartei – Team Todenhöfer;Die Gerechtigkeitspartei – Team Todenhöfer;Ali Bülbül;;;;;;;137;
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;FREIE WÄHLER;FREIE WÄHLER;Karen Buchholz;;;;;;;137;
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;MLPD;Marxistisch-Leninistische Partei Deutschlands;Reinhard Funk;;;;;;;137;
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;BSW;Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit;Andreas Kroll;;;;;;;137;
