version;wahl-behoerde-gs;wahl-datum;wahl-name;stimmzettel-gebiet-nr;stimmzettel-gebiet-bezeichnung;stimmzettel-position;partei-kurzname;partei-langname;partei-rgb-wert;partei-typ
0.3;05914000;26.05.2019;Europawahl;;;1;CDU;Christlich Demokratische Union Deutschlands;#010101;P
0.3;05914000;26.05.2019;Europawahl;;;2;SPD;Sozialdemokratische Partei Deutschlands;#d60029;P
0.3;05914000;26.05.2019;Europawahl;;;3;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;#33cc00;P
0.3;05914000;26.05.2019;Europawahl;;;4;AfD;Alternative für Deutschland;#21c5ff;P
0.3;05914000;26.05.2019;Europawahl;;;5;DIE LINKE;DIE LINKE;#cc0066;P
0.3;05914000;26.05.2019;Europawahl;;;6;FDP;Freie Demokratische Partei;#fbee31;P
0.3;05914000;26.05.2019;Europawahl;;;7;PIRATEN;Piratenpartei Deutschland;#ff8800;P
0.3;05914000;26.05.2019;Europawahl;;;8;Tierschutzpartei;PARTEI MENSCH UMWELT TIERSCHUTZ;#0070c0;P
0.3;05914000;26.05.2019;Europawahl;;;9;NPD;Nationaldemokratische Partei Deutschlands;#ff0000;P
0.3;05914000;26.05.2019;Europawahl;;;10;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;#a50021;P
0.3;05914000;26.05.2019;Europawahl;;;11;FAMILIE;Familien-Partei Deutschlands;#e26b0a;P
0.3;05914000;26.05.2019;Europawahl;;;12;FREIE WÄHLER;FREIE WÄHLER;#366092;P
0.3;05914000;26.05.2019;Europawahl;;;13;Volksabstimmung;Ab jetzt … Demokratie durch Volksabstimmung - Politik für die Menschen;#f2f2f2;P
0.3;05914000;26.05.2019;Europawahl;;;14;ÖDP;Ökologisch-Demokratische Partei;#ff6600;P
0.3;05914000;26.05.2019;Europawahl;;;15;DKP;Deutsche Kommunistische Partei;#ff0000;P
0.3;05914000;26.05.2019;Europawahl;;;16;MLPD;Marxistisch-Leninistische Partei Deutschlands;#ff0000;P
0.3;05914000;26.05.2019;Europawahl;;;17;BP;Bayernpartei;#6699ff;P
0.3;05914000;26.05.2019;Europawahl;;;18;SGP;Sozialistische Gleichheitspartei, Vierte Internationale;#e10000;P
0.3;05914000;26.05.2019;Europawahl;;;19;TIERSCHUTZ hier!;Aktion Partei  für Tierschutz - DAS ORIGINAL;#33cc00;P
0.3;05914000;26.05.2019;Europawahl;;;20;Tierschutzallianz;Allianz für Menschenrechte, Tier- und Naturschutz;#00b0f0;P
0.3;05914000;26.05.2019;Europawahl;;;21;Bündnis C;Bündnis C - Christen für Deutschland;#0070c0;P
0.3;05914000;26.05.2019;Europawahl;;;22;BIG;Bündnis für Innovation & Gerechtigkeit;#ff9933;P
0.3;05914000;26.05.2019;Europawahl;;;23;BGE;Bündnis Grundeinkommen - Die Grundeinkommenspartei;#2287a6;P
0.3;05914000;26.05.2019;Europawahl;;;24;DIE DIREKTE!;Demokratie DIREKT!;#8db4e2;P
0.3;05914000;26.05.2019;Europawahl;;;25;Demokratie in Europa - DiEM25;Demokratie in Europa - DiEM25;#e90a1a;P
0.3;05914000;26.05.2019;Europawahl;;;26;III. Weg;DER DRITTE WEG;#006600;P
0.3;05914000;26.05.2019;Europawahl;;;27;Die Grauen;Die Grauen - Für alle Generationen;#cc0099;P
0.3;05914000;26.05.2019;Europawahl;;;28;DIE RECHTE;DIE RECHTE - Partei für Volksabstimmung, Souveränität und Heimatschutz;#002060;P
0.3;05914000;26.05.2019;Europawahl;;;29;DIE VIOLETTEN;Die Violetten;#d78bff;P
0.3;05914000;26.05.2019;Europawahl;;;30;LIEBE;Europäische Partei LIEBE;#ff0000;P
0.3;05914000;26.05.2019;Europawahl;;;31;DIE FRAUEN;Feministische Partei DIE FRAUEN;#ff6600;P
0.3;05914000;26.05.2019;Europawahl;;;32;Graue Panther;Graue Panther;#ff3399;P
0.3;05914000;26.05.2019;Europawahl;;;33;LKR - Bernd Lucke und die Liberal-Konservativen Reformer;LKR - Bernd Lucke und die Liberal-Konservativen Reformer;#646464;P
0.3;05914000;26.05.2019;Europawahl;;;34;MENSCHLICHE WELT;Menschliche Welt - für das Wohl und Glücklichsein aller;#ff6600;P
0.3;05914000;26.05.2019;Europawahl;;;35;NL;Neue Liberale - Die Sozialliberalen;#ff3399;P
0.3;05914000;26.05.2019;Europawahl;;;36;ÖkoLinX;Ökologische Linke;#cc0000;P
0.3;05914000;26.05.2019;Europawahl;;;37;Die Humanisten;Partei der Humanisten;#1817c7;P
0.3;05914000;26.05.2019;Europawahl;;;38;PARTEI FÜR DIE TIERE;PARTEI FÜR DIE TIERE DEUTSCHLAND;#00b050;P
0.3;05914000;26.05.2019;Europawahl;;;39;Gesundheitsforschung;Partei für Gesundheitsforschung;#0d0d0d;P
0.3;05914000;26.05.2019;Europawahl;;;40;Volt;Volt Deutschland;#6600cc;P
